account_id,signup_date,plan_tier,seats,industry,country,referral_source,is_trial,target_churn,tenure_days,current_plan_tier,current_seats,current_mrr,current_arr,billing_frequency,num_upgrades_180d,num_downgrades_180d,num_plan_changes_180d,sub_tenure_days,total_usage_30d,avg_daily_usage_30d,total_errors_30d,unique_features_30d,total_usage_90d,avg_daily_usage_90d,total_errors_90d,unique_features_90d,avg_feature_duration_sec_overall,num_tickets_90d,avg_resolution_days_90d,avg_satisfaction_90d,num_escalations_90d,overall_avg_resolution_days,overall_avg_satisfaction,pct_high_priority_tickets_overall
A-d40bf7,2024-11-08,Basic,59,FinTech,IN,organic,False,0,-38,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,30.0,10.0,0.0,3.0,130.0,11.818181818181818,1.0,11.0,259.58,0.0,0.0,0.0,0.0,1.125,5.0,1.0
A-6c093d,2023-04-14,Basic,7,DevTools,US,partner,True,0,536,Pro,7.0,343.0,4116.0,monthly,1.0,0.0,3.0,19,20.0,6.666666666666667,0.0,3.0,49.0,7.0,1.0,6.0,334.5272727272727,1.0,1.125,0.0,0.0,1.6805555555555554,5.0,0.6666666666666666
A-462d45,2024-01-15,Enterprise,11,Cybersecurity,US,partner,True,0,260,Basic,61.0,0.0,0.0,monthly,0.0,1.0,4.0,7,47.0,9.4,3.0,5.0,77.0,9.625,4.0,7.0,253.96825396825398,0.0,0.0,0.0,0.0,1.0833333333333333,4.0,1.0
A-956988,2024-11-30,Enterprise,1,EdTech,UK,ads,False,1,-60,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,43.0,10.75,1.0,4.0,126.0,9.0,4.0,12.0,266.3968253968254,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,0.0
A-ac14bb,2023-09-08,Enterprise,21,FinTech,US,partner,False,0,389,Basic,28.0,532.0,6384.0,annual,1.0,0.0,0.0,90,18.0,9.0,3.0,2.0,52.0,8.666666666666666,9.0,6.0,306.7959183673469,0.0,0.0,0.0,0.0,1.0208333333333335,4.0,0.5
A-463db0,2024-12-05,Basic,15,HealthTech,US,partner,False,1,-65,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,25.0,8.333333333333334,0.0,3.0,49.0,8.166666666666666,3.0,5.0,292.48387096774195,1.0,0.16666666666666666,4.0,0.0,2.1,4.333333333333333,0.4
A-ce66f8,2023-08-23,Pro,29,EdTech,CA,event,False,0,405,Pro,29.0,1421.0,17052.0,annual,0.0,0.0,4.0,66,4.0,4.0,0.0,1.0,15.0,7.5,0.0,2.0,288.7692307692308,1.0,0.2916666666666667,0.0,0.0,1.8083333333333331,3.0,0.4
A-c4ea60,2023-03-09,Enterprise,18,FinTech,DE,other,False,0,572,Pro,18.0,882.0,10584.0,annual,0.0,0.0,2.0,22,15.0,15.0,0.0,1.0,50.0,8.333333333333334,0.0,6.0,325.4871794871795,0.0,0.0,0.0,0.0,1.5,3.6,0.2
A-832ec2,2023-11-19,Enterprise,4,FinTech,UK,event,True,0,317,Pro,6.0,0.0,0.0,annual,2.0,0.0,3.0,27,43.0,10.75,0.0,4.0,79.0,9.875,7.0,7.0,312.4878048780488,1.0,2.25,4.0,0.0,1.0833333333333333,4.0,0.3333333333333333
A-684255,2024-04-14,Enterprise,9,FinTech,US,ads,False,0,170,Enterprise,9.0,1791.0,21492.0,annual,3.0,0.0,10.0,22,39.0,13.0,0.0,2.0,80.0,10.0,7.0,7.0,289.7758620689655,2.0,0.9583333333333333,5.0,1.0,0.59375,4.666666666666667,0.25
A-c42f1f,2024-07-28,Pro,8,HealthTech,US,other,False,0,65,Pro,11.0,539.0,6468.0,annual,0.0,0.0,0.0,65,10.0,10.0,0.0,1.0,24.0,8.0,1.0,3.0,298.1212121212121,1.0,2.0,5.0,0.0,1.3055555555555556,4.0,0.4444444444444444
A-4e44e8,2024-08-20,Enterprise,3,DevTools,US,ads,False,1,42,Basic,10.0,0.0,0.0,monthly,2.0,0.0,7.0,3,43.0,10.75,7.0,3.0,109.0,10.9,11.0,7.0,310.015873015873,1.0,0.08333333333333333,3.0,0.0,1.3055555555555556,3.3333333333333335,0.3333333333333333
A-30b4ca,2024-05-20,Basic,86,EdTech,IN,organic,False,0,134,Basic,86.0,1634.0,19608.0,monthly,0.0,0.0,6.0,37,38.0,9.5,0.0,3.0,78.0,8.666666666666666,0.0,7.0,311.2564102564103,1.0,2.6666666666666665,0.0,0.0,2.4027777777777777,4.0,0.0
A-9f2731,2024-10-04,Enterprise,1,FinTech,IN,event,False,1,-3,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,0.0,0.0,0.0,0.0,38.0,9.5,1.0,4.0,307.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A-32fb14,2023-03-07,Enterprise,26,DevTools,US,event,False,0,574,Basic,26.0,494.0,5928.0,monthly,2.0,0.0,1.0,27,0.0,0.0,0.0,0.0,45.0,11.25,0.0,4.0,308.59090909090907,2.0,0.5833333333333334,4.0,0.0,1.4166666666666667,4.5,0.6
A-00cac8,2023-09-15,Enterprise,8,HealthTech,AU,organic,True,0,382,Pro,8.0,392.0,4704.0,monthly,0.0,0.0,2.0,26,14.0,14.0,0.0,1.0,41.0,10.25,2.0,4.0,288.537037037037,0.0,0.0,0.0,0.0,1.375,0.0,1.0
A-35083d,2023-04-28,Basic,19,HealthTech,IN,partner,False,0,522,Pro,25.0,1225.0,14700.0,monthly,2.0,0.0,7.0,22,41.0,10.25,4.0,3.0,100.0,11.11111111111111,7.0,7.0,285.72131147540983,1.0,2.5,0.0,0.0,2.0729166666666665,5.0,0.75
A-eb7fac,2023-10-28,Enterprise,7,DevTools,US,organic,False,0,339,Enterprise,7.0,1393.0,16716.0,monthly,0.0,0.0,4.0,9,0.0,0.0,0.0,0.0,77.0,11.0,1.0,5.0,333.51063829787233,0.0,0.0,0.0,0.0,1.4166666666666667,4.0,0.5
A-b20d99,2023-09-27,Basic,20,HealthTech,IN,other,False,0,370,Pro,27.0,1323.0,15876.0,monthly,0.0,0.0,2.0,5,20.0,10.0,1.0,2.0,39.0,9.75,1.0,4.0,321.90909090909093,0.0,0.0,0.0,0.0,2.5625,3.5,0.0
A-396e5f,2024-10-02,Enterprise,2,Cybersecurity,CA,other,False,1,-1,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,9.0,9.0,0.0,1.0,63.0,9.0,2.0,7.0,324.24444444444447,1.0,1.2083333333333333,0.0,0.0,0.6666666666666666,0.0,0.75
A-45ce7a,2023-07-23,Enterprise,16,FinTech,US,ads,False,0,436,Basic,16.0,304.0,3648.0,annual,0.0,0.0,1.0,1,22.0,11.0,1.0,2.0,39.0,9.75,3.0,4.0,315.27777777777777,0.0,0.0,0.0,0.0,1.84375,3.6666666666666665,0.0
A-08e34e,2024-06-27,Basic,14,EdTech,US,event,False,0,96,Pro,14.0,686.0,8232.0,monthly,0.0,0.0,6.0,3,25.0,12.5,0.0,2.0,112.0,11.2,2.0,9.0,306.3636363636364,1.0,2.8333333333333335,3.0,0.0,1.7916666666666667,3.0,0.3333333333333333
A-8145a0,2023-04-25,Basic,2,Cybersecurity,AU,partner,True,0,525,Basic,12.0,228.0,2736.0,monthly,2.0,0.0,2.0,22,27.0,9.0,4.0,3.0,110.0,10.0,4.0,10.0,289.8070175438597,0.0,0.0,0.0,0.0,0.8583333333333332,4.0,0.4
A-bad8c1,2023-03-01,Basic,7,FinTech,AU,organic,False,0,580,Pro,37.0,1813.0,21756.0,monthly,0.0,0.0,0.0,120,9.0,9.0,0.0,1.0,29.0,9.666666666666666,3.0,3.0,310.54545454545456,0.0,0.0,0.0,0.0,1.125,4.0,1.0
A-44dc83,2024-05-12,Basic,5,EdTech,FR,other,False,1,142,Enterprise,37.0,0.0,0.0,monthly,0.0,0.0,2.0,7,24.0,12.0,1.0,2.0,37.0,12.333333333333334,1.0,3.0,323.2608695652174,1.0,1.0,5.0,0.0,1.7023809523809526,4.6,0.5714285714285714
A-f446b6,2023-05-12,Pro,5,DevTools,DE,ads,True,0,508,Basic,5.0,95.0,1140.0,annual,0.0,0.0,4.0,23,0.0,0.0,0.0,0.0,40.0,8.0,7.0,5.0,335.6764705882353,0.0,0.0,0.0,0.0,1.3571428571428572,4.25,0.7142857142857143
A-a45270,2024-06-24,Enterprise,3,HealthTech,US,ads,False,1,99,Enterprise,3.0,597.0,7164.0,annual,2.0,0.0,7.0,0,0.0,0.0,0.0,0.0,48.0,9.6,4.0,5.0,312.40909090909093,0.0,0.0,0.0,0.0,2.75,0.0,1.0
A-854864,2024-12-07,Enterprise,20,FinTech,IN,event,False,1,-67,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,0.0,0.0,0.0,0.0,22.0,7.333333333333333,1.0,3.0,311.6190476190476,1.0,2.0,5.0,0.0,1.8416666666666668,4.8,0.4
A-1b7577,2024-10-27,Pro,4,Cybersecurity,US,other,False,0,-26,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,29.0,9.666666666666666,1.0,3.0,75.0,9.375,6.0,8.0,283.49056603773585,0.0,0.0,0.0,0.0,1.1333333333333333,4.0,0.6
A-05f0e5,2023-05-04,Basic,32,FinTech,US,partner,False,1,516,Pro,32.0,1568.0,18816.0,annual,2.0,0.0,4.0,46,14.0,7.0,1.0,2.0,67.0,9.571428571428571,1.0,7.0,295.962962962963,0.0,0.0,0.0,0.0,0.611111111111111,4.0,0.6666666666666666
A-9077b0,2024-08-25,Basic,2,HealthTech,US,ads,False,0,37,Basic,2.0,38.0,456.0,monthly,0.0,0.0,0.0,36,31.0,15.5,2.0,2.0,94.0,11.75,9.0,8.0,299.3255813953488,1.0,0.08333333333333333,3.0,0.0,1.6805555555555556,4.333333333333333,1.0
A-7f8241,2023-03-14,Pro,34,EdTech,US,organic,False,0,567,Pro,34.0,1666.0,19992.0,annual,0.0,0.0,1.0,56,21.0,10.5,0.0,2.0,85.0,9.444444444444445,13.0,8.0,289.03076923076924,0.0,0.0,0.0,0.0,1.5,3.0,0.0
A-2bc93d,2023-03-14,Basic,14,HealthTech,US,event,False,0,567,Basic,29.0,551.0,6612.0,annual,2.0,0.0,4.0,9,31.0,10.333333333333334,3.0,3.0,106.0,9.636363636363637,4.0,9.0,300.9830508474576,0.0,0.0,0.0,0.0,0.7083333333333334,4.0,1.0
A-f3ff05,2024-07-06,Enterprise,2,FinTech,IN,other,False,1,87,Pro,35.0,1715.0,20580.0,monthly,1.0,0.0,6.0,10,68.0,9.714285714285714,8.0,7.0,85.0,9.444444444444445,9.0,7.0,323.26229508196724,0.0,0.0,0.0,0.0,1.777777777777778,3.5,0.3333333333333333
A-2d4502,2024-04-29,Basic,7,FinTech,IN,event,False,0,155,Basic,67.0,0.0,0.0,annual,1.0,0.0,5.0,6,12.0,6.0,0.0,2.0,59.0,8.428571428571429,0.0,6.0,278.15555555555557,0.0,0.0,0.0,0.0,1.097222222222222,5.0,0.6666666666666666
A-6a4e2d,2023-04-07,Pro,9,EdTech,UK,partner,False,0,543,Basic,26.0,494.0,5928.0,annual,0.0,1.0,1.0,18,10.0,10.0,0.0,1.0,55.0,11.0,1.0,5.0,300.32,1.0,0.625,5.0,1.0,0.7708333333333333,4.5,0.0
A-eb7c38,2024-02-25,Enterprise,5,DevTools,AU,organic,False,0,219,Basic,23.0,0.0,0.0,annual,3.0,1.0,10.0,5,28.0,9.333333333333334,0.0,3.0,127.0,10.583333333333334,3.0,11.0,292.8688524590164,1.0,0.20833333333333334,4.0,0.0,0.9333333333333333,4.333333333333333,0.4
A-c37601,2024-10-31,Basic,6,EdTech,US,partner,True,1,-30,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,0.0,0.0,0.0,0.0,43.0,10.75,3.0,4.0,278.9756097560976,0.0,0.0,0.0,0.0,1.7604166666666667,3.6666666666666665,0.5
A-3b5cd1,2023-09-12,Basic,13,FinTech,US,event,True,0,385,Enterprise,55.0,0.0,0.0,annual,1.0,0.0,0.0,112,56.0,11.2,0.0,5.0,76.0,10.857142857142858,0.0,7.0,345.4047619047619,0.0,0.0,0.0,0.0,0.8020833333333333,4.0,0.25
A-b2225d,2024-03-08,Basic,47,FinTech,US,ads,False,0,207,Basic,47.0,0.0,0.0,annual,1.0,0.0,6.0,14,39.0,9.75,3.0,4.0,121.0,10.083333333333334,12.0,10.0,325.6515151515151,1.0,2.5,0.0,0.0,1.75,3.0,1.0
A-94f8c9,2024-03-29,Basic,13,HealthTech,US,other,False,0,186,Enterprise,13.0,2587.0,31044.0,annual,2.0,0.0,8.0,51,27.0,6.75,4.0,3.0,51.0,7.285714285714286,6.0,6.0,275.7761194029851,1.0,2.125,0.0,0.0,1.9722222222222223,5.0,0.6666666666666666
A-02fac6,2023-04-06,Pro,22,FinTech,US,event,False,0,544,Basic,22.0,418.0,5016.0,monthly,0.0,0.0,5.0,9,0.0,0.0,0.0,0.0,46.0,11.5,1.0,4.0,328.5853658536585,0.0,0.0,0.0,0.0,0.9722222222222223,4.0,0.3333333333333333
A-c1dfe1,2023-08-07,Pro,26,DevTools,DE,ads,False,0,421,Basic,26.0,494.0,5928.0,monthly,0.0,2.0,3.0,9,12.0,6.0,6.0,2.0,18.0,6.0,8.0,3.0,313.3142857142857,1.0,2.7083333333333335,0.0,0.0,2.0972222222222223,4.0,0.6666666666666666
A-32728c,2023-01-03,Pro,20,DevTools,US,event,False,0,637,Basic,42.0,798.0,9576.0,annual,1.0,0.0,2.0,14,20.0,10.0,0.0,2.0,33.0,11.0,1.0,3.0,266.86842105263156,0.0,0.0,0.0,0.0,1.4375,3.5,0.0
A-4c38bc,2024-03-09,Basic,36,HealthTech,UK,event,False,0,206,Enterprise,36.0,7164.0,85968.0,annual,1.0,0.0,8.0,38,32.0,8.0,1.0,4.0,123.0,9.461538461538462,3.0,12.0,322.45714285714286,1.0,2.75,4.0,0.0,2.013888888888889,3.5,0.6666666666666666
A-1b707d,2023-07-14,Enterprise,1,Cybersecurity,US,organic,False,0,445,Basic,8.0,152.0,1824.0,annual,0.0,0.0,1.0,151,30.0,10.0,1.0,3.0,81.0,11.571428571428571,1.0,7.0,291.56666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0
A-6f8ad2,2024-07-09,Basic,1,EdTech,IN,organic,False,0,84,Basic,29.0,551.0,6612.0,annual,1.0,0.0,9.0,4,64.0,10.666666666666666,4.0,6.0,177.0,11.0625,14.0,14.0,289.2894736842105,0.0,0.0,0.0,0.0,1.1666666666666667,4.0,1.0
A-4d1e75,2024-08-21,Basic,20,DevTools,US,other,False,0,41,Pro,20.0,980.0,11760.0,monthly,2.0,0.0,2.0,14,48.0,9.6,2.0,4.0,69.0,9.857142857142858,2.0,6.0,314.6222222222222,1.0,0.125,4.0,0.0,0.625,4.0,0.0
A-9ee962,2023-02-28,Basic,9,HealthTech,US,ads,False,1,581,Basic,9.0,171.0,2052.0,annual,0.0,0.0,3.0,75,13.0,13.0,0.0,1.0,28.0,14.0,0.0,2.0,269.4594594594595,0.0,0.0,0.0,0.0,1.5416666666666667,4.0,0.3333333333333333
A-378b99,2024-09-01,Pro,8,EdTech,UK,ads,True,1,30,Basic,68.0,1292.0,15504.0,monthly,0.0,0.0,1.0,12,8.0,8.0,0.0,1.0,42.0,8.4,7.0,5.0,333.96,2.0,1.1458333333333333,3.0,0.0,1.1875,4.5,0.16666666666666666
A-94d3da,2023-05-03,Basic,41,HealthTech,US,other,False,0,517,Enterprise,41.0,8159.0,97908.0,monthly,0.0,0.0,1.0,3,15.0,15.0,0.0,1.0,32.0,10.666666666666666,0.0,3.0,314.9767441860465,1.0,0.5833333333333334,5.0,0.0,1.25,3.6666666666666665,0.5
A-e351e1,2024-09-26,Enterprise,33,EdTech,US,other,False,1,5,Pro,33.0,1617.0,19404.0,monthly,0.0,0.0,2.0,0,13.0,13.0,0.0,1.0,50.0,10.0,4.0,5.0,341.2608695652174,1.0,1.7083333333333333,3.0,0.0,1.2708333333333333,4.0,0.5
A-9badbd,2024-06-19,Enterprise,5,Cybersecurity,DE,ads,True,0,104,Enterprise,20.0,0.0,0.0,monthly,0.0,0.0,6.0,11,63.0,10.5,4.0,6.0,148.0,10.571428571428571,4.0,13.0,296.30645161290323,1.0,1.4166666666666667,5.0,0.0,1.40625,5.0,0.75
A-7e0a10,2023-11-18,Enterprise,46,FinTech,US,ads,False,0,318,Basic,46.0,874.0,10488.0,annual,0.0,0.0,1.0,69,12.0,12.0,0.0,1.0,43.0,8.6,6.0,5.0,339.85714285714283,1.0,1.375,0.0,0.0,1.5729166666666667,4.0,1.0
A-118d55,2024-10-22,Basic,8,Cybersecurity,US,organic,False,1,-21,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,20.0,10.0,0.0,2.0,88.0,8.8,4.0,10.0,270.25,1.0,0.5833333333333334,4.0,0.0,0.8333333333333334,4.5,0.3333333333333333
A-526d93,2024-04-14,Basic,43,HealthTech,FR,organic,False,0,170,Basic,43.0,817.0,9804.0,monthly,2.0,0.0,7.0,0,0.0,0.0,0.0,0.0,63.0,10.5,2.0,6.0,296.48936170212767,0.0,0.0,0.0,0.0,2.1145833333333335,3.5,0.75
A-f92792,2024-07-04,Pro,1,FinTech,US,ads,False,1,89,Enterprise,24.0,4776.0,57312.0,annual,0.0,1.0,7.0,1,8.0,8.0,0.0,1.0,40.0,13.333333333333334,1.0,3.0,297.9148936170213,1.0,2.9166666666666665,4.0,0.0,2.9166666666666665,4.0,0.0
A-84ebe4,2023-03-12,Pro,18,FinTech,US,ads,True,0,569,Enterprise,45.0,8955.0,107460.0,annual,0.0,0.0,3.0,55,7.0,7.0,0.0,1.0,43.0,8.6,4.0,3.0,311.7352941176471,0.0,0.0,0.0,0.0,1.625,4.0,0.5
A-5b4ebb,2024-07-10,Basic,21,Cybersecurity,UK,other,True,0,83,Basic,21.0,399.0,4788.0,annual,0.0,0.0,3.0,9,43.0,10.75,0.0,4.0,125.0,9.615384615384615,0.0,12.0,287.04615384615386,0.0,0.0,0.0,0.0,1.6666666666666665,4.666666666666667,0.0
A-2922b6,2024-11-14,Basic,15,HealthTech,US,organic,False,1,-44,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,0.0,0.0,0.0,0.0,40.0,13.333333333333334,1.0,3.0,282.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A-9b9fe9,2023-09-28,Basic,5,EdTech,AU,other,False,0,369,Pro,5.0,245.0,2940.0,monthly,0.0,0.0,2.0,45,33.0,11.0,0.0,2.0,97.0,9.7,3.0,8.0,351.4166666666667,1.0,1.375,3.0,0.0,1.75,4.0,0.3333333333333333
A-a8b49c,2023-10-06,Basic,7,Cybersecurity,UK,partner,False,0,361,Enterprise,12.0,2388.0,28656.0,annual,0.0,0.0,1.0,6,29.0,9.666666666666666,3.0,3.0,75.0,10.714285714285714,4.0,7.0,335.64,0.0,0.0,0.0,0.0,3.0,4.0,0.0
A-9174e0,2024-12-04,Basic,37,Cybersecurity,US,partner,False,0,-64,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,45.0,11.25,2.0,3.0,67.0,11.166666666666666,10.0,5.0,300.1904761904762,0.0,0.0,0.0,0.0,2.2083333333333335,0.0,0.0
A-a1bbb6,2023-04-05,Basic,1,DevTools,CA,organic,False,0,545,Pro,8.0,392.0,4704.0,monthly,0.0,0.0,0.0,218,7.0,7.0,0.0,1.0,19.0,9.5,0.0,2.0,335.625,0.0,0.0,0.0,0.0,0.736111111111111,4.0,1.0
A-c45b23,2023-12-08,Basic,5,FinTech,UK,partner,False,0,298,Pro,25.0,0.0,0.0,annual,0.0,0.0,5.0,24,27.0,9.0,0.0,3.0,83.0,10.375,3.0,7.0,316.3703703703704,0.0,0.0,0.0,0.0,1.4166666666666665,3.0,1.0
A-02cd81,2024-03-28,Basic,44,HealthTech,IN,other,False,0,187,Basic,44.0,0.0,0.0,annual,0.0,0.0,10.0,21,56.0,9.333333333333334,2.0,5.0,139.0,9.266666666666667,5.0,13.0,311.18461538461537,1.0,0.375,4.0,1.0,0.7222222222222223,4.5,0.6666666666666666
A-ee42db,2023-04-25,Enterprise,13,EdTech,DE,ads,False,1,525,Enterprise,13.0,2587.0,31044.0,annual,1.0,0.0,1.0,52,8.0,8.0,0.0,1.0,32.0,8.0,2.0,4.0,288.2325581395349,0.0,0.0,0.0,0.0,1.40625,3.0,0.5
A-432483,2023-02-06,Pro,4,Cybersecurity,US,ads,False,0,603,Pro,13.0,637.0,7644.0,annual,0.0,0.0,1.0,29,21.0,10.5,1.0,2.0,64.0,12.8,3.0,5.0,333.18918918918916,1.0,2.125,0.0,0.0,2.125,0.0,1.0
A-9208f0,2023-05-11,Pro,1,EdTech,US,organic,False,1,509,Basic,17.0,0.0,0.0,annual,0.0,0.0,0.0,53,19.0,6.333333333333333,2.0,3.0,51.0,8.5,5.0,6.0,298.9795918367347,0.0,0.0,0.0,0.0,1.5654761904761902,3.5,0.14285714285714285
A-98a59a,2023-08-04,Enterprise,56,FinTech,UK,partner,False,0,424,Enterprise,56.0,11144.0,133728.0,monthly,0.0,1.0,3.0,19,0.0,0.0,0.0,0.0,60.0,10.0,0.0,6.0,265.5,1.0,2.5416666666666665,5.0,0.0,1.7708333333333333,5.0,0.5
A-fe79a5,2024-02-21,Basic,9,HealthTech,IN,ads,True,0,223,Enterprise,23.0,4577.0,54924.0,annual,1.0,0.0,3.0,25,14.0,14.0,0.0,1.0,44.0,11.0,0.0,4.0,301.1666666666667,0.0,0.0,0.0,0.0,1.486111111111111,5.0,0.3333333333333333
A-726cfa,2023-07-01,Pro,11,DevTools,US,partner,False,0,458,Enterprise,11.0,0.0,0.0,monthly,0.0,0.0,4.0,25,37.0,9.25,4.0,4.0,121.0,11.0,5.0,11.0,285.9418604651163,1.0,0.375,4.0,0.0,1.4861111111111114,4.0,0.6666666666666666
A-c43359,2024-11-16,Pro,38,FinTech,US,organic,False,1,-46,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,0.0,0.0,0.0,0.0,34.0,17.0,3.0,2.0,321.2564102564103,0.0,0.0,0.0,0.0,1.111111111111111,4.0,1.0
A-271f46,2023-02-09,Pro,38,DevTools,US,event,False,0,600,Basic,38.0,722.0,8664.0,annual,0.0,0.0,2.0,114,0.0,0.0,0.0,0.0,16.0,8.0,2.0,2.0,315.75,0.0,0.0,0.0,0.0,1.5,0.0,0.0
A-157070,2023-11-09,Pro,16,FinTech,US,ads,False,1,327,Basic,27.0,513.0,6156.0,monthly,0.0,0.0,7.0,5,45.0,9.0,2.0,3.0,166.0,11.066666666666666,6.0,11.0,282.14285714285717,0.0,0.0,0.0,0.0,1.3958333333333335,0.0,0.5
A-40a557,2023-12-03,Pro,16,Cybersecurity,AU,partner,True,0,303,Pro,18.0,0.0,0.0,annual,0.0,0.0,2.0,10,10.0,10.0,0.0,1.0,55.0,11.0,2.0,5.0,284.8,1.0,1.75,3.0,0.0,1.35,3.0,0.4
A-66224b,2024-10-18,Pro,92,HealthTech,US,other,True,0,-17,NO_ACTIVE_SUB,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,19997,38.0,9.5,2.0,4.0,164.0,10.25,6.0,14.0,303.17857142857144,0.0,0.0,0.0,0.0,1.59375,3.25,0.5
